Guest-1: 喂。

 Guest-2: 您好，我是青青家长是吧？

 Guest-2: 什么事？嗯，你好，我这边是这个广州吉言福星宇，我们校区开展了双语试听课，邀请您带孩子来体验看看。请问下小朋友这边是读几年级了，请听爸爸。

 Guest-2: 哦，还在幼儿园啊嗯，上班吗？还是中班？

 Guest-2: 小班刚刚这个三岁多是吧？嗯，您要是离我们校区比较近的话，空闲的时候可以带小朋友过来体验看看，我们就是英孚少儿英语，就三岁以上的孩子都可以过来体验，因为孩子年龄比较小嘛，主要也是看看孩子能不能适应，正好锻炼一下小朋友的这个社交表达能力。我们体验课是四十分钟不收取任何费用的。

 Guest-3: 嗯，我有空再说好吧啊，啊。

 Guest-2: 您行，那我给您说一下我们校区位置，您目前是在广州哪个区？听听爸爸。

 Guest-3: 嗯，在呃，海珠区，嗯。

 Guest-2: 海珠的话，您到乐峰广场近一些，还是到昌港中心近一些或者是赤岗北路这边。

 Guest-2: 乐丰广场是吧？嗯，行，可以的，我们这边呢，就周六周末全天都可以过来试听，你看看周六周末休息的时候可以带小朋友过来先体验，看看效果怎么样，孩子能不能适应，多一个参考，好吧，好好的谢谢啊。嗯，行行，那我就不打扰你了，请你爸爸那您先忙，到时候留意下我们这边乐工老师电话就可以了，具体时间可以和我们校区老师再约好吧。

 Guest-2: 嗯，好好，嗯，好，再见哈，请您拜拜，好，拜拜，拜拜，嗯。

