Guest-1: 喂。

 Guest-2: 家长您好，请问是丽丽的家长吗？你好。

 Guest-2: 哎，什么事啊？家长，我这边广州的EF英语校区正好就送一节双语课，我把最近位置给到您可以带孩子过来体验的。呃，家长，您是在越秀天河白云海珠哪个区啊？

 Guest-2: 我，我是海珠区的，海珠的话，您是在那个工业大道乐丰中心呀，有一个校区，昌港中心呀，有一个校区，还有的话是滨江中心。那丽丽妈妈哪个近一些呀？

 Guest-3: 五五六十五中那里上学呀。

 Guest-2: 五中呃，五中的话是靠近滨江还是长港呀？

 Guest-3: 黄金那个吴，呃，滨江那里。

 Guest-2: 啊，行，可以啊，我们就给您保留在滨江中心哈。等孩子有空的时候可以到校区体验啦。那丽丽妈妈，孩子现在读到几年级了呀。

 Guest-3: 上初一了吧？

 Guest-3: 已经上初一了是吧？现在是初一是吧？

 Guest-3: 现在是初二了，九月。

 Guest-2: 份都上初二哦，现在初一的话我们有这个，呃，夏令营还有一个是那个暑假班，还有那个剑桥英语啊，就是KETPET就是英语等级的。

 Guest-2: 就是说咱们这个通过这个级别呢，就可以正常英语交流。这个的话你可以了解一下暑假班，到时候到我们校区了解一下，对孩子来说都是有帮助的。好吧，丽丽妈妈。

 Guest-3: 哦，下次吧，看一下有没有时间好不好啊，您是多您是什么？

 Guest-2: 时候有空。

 Guest-2: 呀，最近没时间吗？啊，真的是没时间，没时间啊，是我给您看账行吗？如果说您特别忙的话，因为我们不跟您约具体的时间了，就给您放半个月吧，半个月呢是免费体验的，您什么时候有空啊，等丽丽周末休息的时候。

 Guest-2: 您和孩子说月底也可以啊，到校区到比到咱们这边过来玩的时候就近体验一下，刚给您保留的是在那个呃，昌港中心这边好吧。

 Guest-2: 啊，是滨江您是在滨江中心是吧家长？

 Guest-2: 可以吗？

 Guest-2: 哦。

 Guest-3: 好好好。

 Guest-2: 呃，半个月之内可以是吧？

 Guest-2: 啊，对家长就是刚刚您说是哪个校哪个校区离您近些？是滨江还是长港呀？

 Guest-3: 香港也可以啊。

 Guest-2: 长港也可以并啊行，那就保留在川港吧。那这边的话就是昌港校区这边我给您保留半个月，到时候我们这边暑假班。

 Guest-2: 啊，或者是剑桥英语开APPT你都可以了解。好吧，家长，嗯，好好好好的啊，那丽丽妈妈，我不打扰你了哈，祝你宝贝生活愉快啊，再见，拜拜，嗯嗯，拜拜，好的，拜拜。

 Unknown: 

 Unknown: 

