Guest-1: 喂。

 Guest-2: 唉喂，请问是这样的吗？对吗？嗯，对，唉唉你好，嗯，咱们这边是英孚。

 Guest-2: 教育我格式教的老师我在看历史，有看到您是前面就是给小朋友约了一个我们英文能力测评是在今天晚上七点钟左右，对吧？对。

 Guest-2: 对，然后呢，我看到孩子这边备注的是十周岁，然后五年级，然后这边想跟您沟通一下我们孩子的语言情况，这样的话提前准备一点就是评估的一些内容和材料，因为孩子都不一样，嗯嗯，那这边大概也能跟我讲一下孩子的这个呃英文的一个水平啊，包括目前的一些这个呃，听说读写各种维度的一些情况嘛，就他现在是五升运出了嘛，所以他也要即将步入到这个初中的一个。

 Guest-2: 学习了，对，我们是四升五。

 Guest-2: 哦，四升五是吗？我这边写的是那个五年级，我以为是五五升六，呃，四年级升五年级，那大概的话，这个通过学校里面的这个作业呀，练习呀，包括了包括老师的反馈是什么样子的，就是就是孩子的这个学习。

 Guest-2: 嗯，我们考试还可以。

 Guest-2: 就考试还可以达到优的成绩。嗯哦，就那学校前考试一般都会都会是什么样的一个形式啊，是这种以这种测验的形式吗？还是说比如说会去考个单项这个模块儿？

 Guest-2: 哎呀，具体我也不太清楚。

 Guest-2: 不是很清楚是吗？然后好呀的作业什么的也还。

 Guest-3: 就独立自主的，可以完成。

 Guest-2: 嗯，然后。

 Guest-3: 考试成绩还可以。

 Guest-3: 嗯嗯嗯。

 Guest-2: 成绩还可以。嗯，那您现在主要是想给孩子提升哪些方面呀？

 Guest-2: 嗯。

 Guest-3: 我，我就是不知道要提升哪方面，因为第一他们学校可能本身学的也比较简单嘛，对吧？那如果能够去加强课内的，然后让他后面学起来。

 Guest-3: 呃，轻松一点，我觉得也可以。那如果说是去做一些价位的这种扩展，我觉得也是有必要的。

 Guest-3: 所以在这两方面我也不知道应该怎么样，所以才刚才打的电话，那个老师说可以找你们沟通一下，就是，嗯，看看小朋友适合什么呀。

 Guest-2: 啊，是这样子第一个的话呢，如果说小朋友他课内还可以的话呢，那我觉得就是从孩子的英文能力水平的综合性出发，会会会更好一点。所以因为他的综合能力上来之后的话，其实这里面的难度就是会偏低一点，就不会特别的难了。

 Guest-2: 哎，你们有那种然后他。

 Guest-2: 呃，妈妈，为什么就是妈妈？你是不是想给孩子去考托福吗？小小托福。

 Guest-2: 我就是问你有考过这个primary的这个吗？就是这个没有啊，就它会有一个它间有考过吗？或者是说它自己有考过KT吗？没有。

 Guest-2: 哦，是因为您周围有朋友在考小托福吗？听小托福的难度还是还是比较高。

 Guest-3: 的我们就是想为后面的择校做个准备啦。就是也不知道有没有必要。

 Guest-2: 啊，嗯，那他现在是工大小学。

 Guest-3: 对。

 Guest-2: 公办，然后最后的话这个初中是准备去摇民办吗？初中。

 Guest-3: 有可能。

 Guest-2: 嗯，那现在有比较像这个学学校吗？还没有。

