Guest-1: 喂哎哪位？

 Guest-2: 哎，你好，是子佳小朋友，妈妈。

 Guest-2: 对吧？对。

 Guest-2: 哎，你好子佳妈妈，我这边是英孚教育虹口龙之梦校区的张老师，你好你好，嗯，你好哎，我有看到您是帮咱们子佳预约了周六下午1点15的体验课对吧？

 Guest-2: 对呃，我记得11点半吧还是1点15。

 Guest-2: 啊，咱们一点半正式开始妈妈，但是因为宝宝，我看他现在刚三周岁嘛，肯定是对这个陌生环境需要熟悉一下，所以说我觉得。

 Guest-2: 然后宝宝现在是开学上小班，对吧？

 Guest-2: 四千八对。

 Guest-2: 这个什么样的是比较活泼一点类型的外向的对比较外向啊。

 Guest-2: 哦，那这个很好，那这个因为外在的孩子，他的适应能力会比较强，然后学语言还是有自己的优势在的。对，那他现在对他现在就是，呃，有有之前有接触过英语吗？

 Guest-3: 嗯，因为他们学校就是那个双语的嘛。然后其实有老外是代班的，但是因为可能年龄还小。

 Guest-3: 就是可能也听不太懂吧。对，那日常的话就是学校有教，然后回来以后跟他说。

 Guest-3: 就简单的还是O还是听得懂的。

 Guest-2: 哦哦，了解就是它它托班里面也是双语的，对吧？

 Guest-2: 对，没错的哦，好的呀，那他独立上课应该已经没有问题了啊，没问题了。

 Guest-3: 没问题对他已经上错班了吗？

 Guest-2: 还是蛮棒的，蛮棒的。那妈妈这边您可能对于子佳她的这个英语这块的一个期待是什么呢？还是说你有可能重点想培养她哪一方面的是她的一个听说能力呀，可能就是语感方面吧。可。

 Guest-3: 能多接触一些这种，因为太小了，我也不期待她能有一些比如说。

 Guest-3: 嗯，可能和老外一样，或者可能就是增加点语感。我觉得啊，就是以后学英语还是蛮有帮助的。

 Guest-2: 对，那就是学习的系统性这一块您会比较看重吗？比如说可能他会系统一些，而不是说可能零散的去学这块，你会比较在意吗？

 Guest-3: 系统性我觉得没什么问题啊，因为以后上学的话肯定也要就是继续要打好嘛。

 Guest-2: 哎，对的，对的就说对于他这个年龄阶段来讲。

 Guest-2: 您说时间。

 Guest-3: 可能看可能看小朋友自己就是这个接受能力吧。比如说老师的这个上课的这个吸引程度，能不能让他就是说啊，投入到这节课当中。

 Guest-2: 哦，了解了解，如果是说咱们指甲还是比较能够适应这种纯银授课的形式，您也是希望说可能也尽快，就是每周可以有固定的时间让他去接触起来。

 Guest-2: 对吧？

 Guest-3: 对，是的，这点我们就是比较还是比较支持的。如果他自己接受能力比较高的，也对这方面有兴趣的话，那我们肯定是支持。

 Guest-2: 嗯，了解，了解那是这样子的。妈妈，我跟您讲一下，因为咱们英孚这边的话呢，是纯英授课。

 Guest-2: 并且对于孩子这个年龄阶段来讲的话呢，可能他的注意力只有几分钟，但是我们老师上课会通过各种的一个互动方式去引导孩子，整节课的注意力都在咱们的课堂上。第一次课呢，我们就呃，各种各样的情况都会发生，就像我刚才跟你讲，他这个年龄段可能到一个陌生的环境，他需要适应一下。前期我们也希望说爸爸妈妈可以及时的给到我们指甲一些鼓励和这个掌声。

 Guest-2: 那么孩子会在一次课一次课之后大概两三次课，他可以去完全能够理解老师纯英文的一些指令，比如说Stand up later look这些除此以外的话呢，就是说目前他这个年龄阶段是学习语言的一个黄金期，因为他的中式思维还没有很强势，那你英式思维其实很好建立的也是他，对他来讲他就念个小海绵一样，你给他多少他就能吸多少。

 Guest-2: 那也是说现在我们音符最小的还应该是两岁多嘛。所以到时候也会有其他小朋友跟咱们子佳一起去上这个体验课都是过来上体验课的孩子，那么我们也会就是希望孩子能够在本节课当中能够慢慢的去有一些变化，比如说刚开始的时候可能声音比较小啊，或者是说有一点点紧张啊，到后面他可以大声的跟耳机互动啊，说一个完整的句子啊，我觉得这都是我们可以保留的一些期待，但是咱们到时候一定提前。

 Guest-2: 五分钟到校区啊。思佳妈妈好好好明白了，好的，好的好的。子佳，妈妈，那我这边的话，稍后加您个手机号，能加到微信吗？可以的，可以的。好的，那我给您发点咱们的资料，还有地址，到时候您是和爸爸一起过来的对吧？

 Guest-3: 哦，没有，我自己带他过来爸爸比较忙哦哦，可。

 Guest-2: 以可以行，那我这边帮您安排一。

 Guest-2: 个大人位置，一个小朋友的试听位置，然后也跟姐姐妈妈说一下，如果是说我们试听当天感觉比较满意的话呢，我们当天也会有一张优惠券可以给到你，但是我们试听完再说好吗？

 Guest-3: 好好明白了，好，您发给我吧，好好嘞，好嘞，拜拜，好不客气，拜拜。

 Unknown: 

 Unknown: 

